2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,region
5177,6435,9127,11657,14853,18807,22858,33221,41996,48546,42740,44289,50051,52590,54485,53888,54031,54032,Ростовская область
61498,61498,61498,61498,61498,61498,61498,61498,61498,61498,61498,61498,61498,61498,61498,61498,59027,63970,г. Севастополь
70978,70978,70978,70978,70978,70978,70978,70978,70978,70978,70978,70978,70978,70978,70978,70978,75728,66228,г. Севастополь
31869,31869,31869,31869,31869,31869,31869,31869,31869,31869,29029,28727,28115,31100,32335,35308,35632,34712,Северо-Кавказский федеральный округ
33029,33029,33029,33029,33029,33029,33029,33029,33029,33029,31852,26773,29041,30809,30037,37810,38868,39046,Северо-Кавказский федеральный округ
25549,25549,25549,25549,25549,12379,12501,19442,27743,25665,28418,27695,26747,30095,22785,30687,31685,36304,Республика Дагестан
4504,5781,7135,15372,18043,18279,17715,23098,43147,37573,38154,35005,35683,35879,37080,44528,46060,46480,Республика Дагестан
44073,44073,44073,44073,44073,44073,44073,44073,44073,44073,44073,44073,44073,44073,44073,49528,41703,40990,Республика Ингушетия
2999,4572,6150,7268,7804,7853,8316,18901,17357,17278,19513,22308,25284,29885,27498,38566,34491,34075,Республика Ингушетия
35438,35438,35438,35438,35438,35438,35438,35438,35438,35438,35438,31886,33393,35027,36110,37993,37978,35679,Кабардино-Балкарская Республика
3876,4002,4574,5136,6764,9969,12748,14760,25840,38393,38928,33117,34612,35237,36929,38593,39957,37573,Кабардино-Балкарская Республика
28594,28594,28594,28594,28594,28594,28594,28594,15354,28594,16666,17643,19410,25374,39659,40637,41223,41388,Карачаево-Черкесская Республика
2710,2751,2979,3696,6255,12108,12315,13291,19319,27781,26133,24606,26533,31768,39589,44672,42437,40916,Карачаево-Черкесская Республика
2500,27035,27035,27035,27035,27035,27035,14825,20200,26131,28129,28490,29443,32896,35714,36325,36235,33538,Республика Северная Осетия - Алания
4087,4367,6476,7480,8132,9596,11505,15607,19904,24287,27856,29485,30368,35741,37705,40262,41159,39829,Республика Северная Осетия - Алания
41095,41095,41095,41095,41095,41095,41095,41095,41095,41095,32250,37205,39069,40633,41555,45488,45944,46623,Чеченская Республика
32179,32179,32179,32179,32179,32179,32179,32179,32179,18999,19701,26843,24529,33014,37682,41323,43435,44093,Чеченская Республика
5124,5904,8702,9553,13250,14865,16534,22584,29416,31638,30630,29315,27891,30854,32596,34868,34983,32804,Ставропольский край
3812,4190,5767,8483,10579,12924,15417,19519,31271,35719,30818,27527,28380,30353,33216,32734,35382,35332,Ставропольский край
6172,7963,10131,11375,13280,16103,21878,33323,39631,37083,36315,34250,38769,42179,44450,46024,44001,44399,Приволжский федеральный округ
5184,7073,9183,10925,13154,16187,22188,35076,40446,36919,36366,36773,41464,47114,49583,51375,49236,45244,Приволжский федеральный округ
7179,10179,12551,12826,14742,19793,28649,38336,40053,35823,36622,35880,40076,47054,51388,51654,51198,51008,Республика Башкортостан
6366,10082,11991,13241,16949,21771,35434,45669,44189,37683,37089,40541,46101,51723,55717,55742,52393,48883,Республика Башкортостан
3146,4592,7611,9739,11115,12469,17855,27243,37119,34293,35087,34244,38618,38546,41596,39665,41121,38223,Республика Марий Эл
2678,4237,6716,8961,10181,12582,18383,27685,32977,28826,29012,32079,35471,40795,40866,41551,39698,38011,Республика Марий Эл
3967,4844,6969,10002,11888,14395,17290,22186,37420,35731,32547,34342,38391,43708,46270,47122,41659,41558,Республика Мордовия
2808,4422,5711,9606,11808,17392,18643,25315,40356,31568,30716,31590,33582,36005,42245,42302,36207,33383,Республика Мордовия
5926,7173,8580,9940,11421,13968,17772,29393,34382,32457,32637,33497,44335,43580,46664,53537,52056,56319,Республика Татарстан
5470,7083,9165,11146,12976,16153,20311,33391,38277,35540,38102,35376,42614,53754,55432,59324,59726,55019,Республика Татарстан
3785,6455,8929,11167,16329,17460,23220,37852,38799,38086,32903,34311,37858,40356,43976,46607,44030,44313,Удмуртская Республика
3695,7245,9884,12618,14903,17464,22094,36131,36929,34193,32287,31377,37452,40276,44246,44969,44267,44139,Удмуртская Республика
4746,7270,8760,9729,11935,15245,18378,30568,35293,30228,28749,32650,37120,40271,42656,44063,38778,39979,Чувашская Республика
3841,5589,7680,8421,10894,14687,17897,32052,34694,29253,28815,31013,34307,38123,41874,42738,40396,37804,Чувашская Республика
6308,10597,12122,12123,13566,17904,24957,40625,52109,43048,39286,43463,43484,49016,51164,54599,48437,49596,Пермский край
5053,9442,11352,10671,11740,15531,22634,41965,48358,30472,33370,35881,43623,44096,41274,41865,43210,41753,Пермский край
4511,6879,10349,11563,13118,16136,22774,34486,37313,32876,31589,29949,36018,40655,41285,42493,41081,38044,Кировская область
3939,5530,8458,10353,12380,15109,21411,31574,34751,33825,31229,33903,37199,43461,43919,46787,41018,40511,Кировская область
9579,10314,12630,15179,18785,22056,25218,55517,58909,53919,47608,44981,47437,53227,56924,62806,60747,61746,Нижегородская область
5791,6622,8270,11072,14214,16778,19407,39968,45289,43302,42411,44966,50424,58612,62716,66566,64483,63244,Нижегородская область
5000,7200,12500,11538,11540,14007,17213,25981,34632,34670,34784,33967,33796,38778,39892,39935,38089,37757,Оренбургская область
4522,5867,8022,9418,10460,12684,19806,27334,33877,34800,35358,37036,39985,44343,47215,45168,40468,38149,Оренбургская область
3572,4618,7793,10839,13064,14197,15254,27829,34513,32652,29625,31110,33849,38046,40830,43638,41909,38466,Пензенская область
3513,4136,7010,10045,11404,13664,15352,27500,36186,36934,31547,33677,34476,39430,41015,42167,38840,39080,Пензенская область
7526,9356,10959,12963,13566,14374,20397,32240,43830,44002,43428,35787,37318,42094,39239,43677,42915,44080,Самарская область
7512,8154,10838,12748,14831,17209,28293,42962,50806,50698,47829,40738,46122,50463,51093,54092,51226,43952,Самарская область
5034,5822,7700,9147,12514,14788,20395,20687,28616,29525,30456,32752,36553,40753,40710,41782,40297,40096,Саратовская область
4876,6016,7368,9038,12053,13882,16604,19760,29394,31215,31157,30150,32269,36488,39363,41381,39461,38039,Саратовская область
3868,4424,7238,8599,10586,12205,15656,23820,35002,34156,33182,32118,32894,35368,37604,38620,38315,38019,Ульяновская область
3491,4443,6735,8413,9443,11928,13928,25557,31981,31043,29038,32249,34007,37361,42036,43759,42705,41418,Ульяновская область
5543,8096,11684,13942,16077,19486,26373,42084,41392,39799,42692,39717,45622,49811,53392,54541,49870,48949,Уральский федеральный округ
4887,8162,11789,12745,14213,19126,24537,39644,44221,41180,40599,42854,54777,53894,58736,60623,55505,54176,Уральский федеральный округ
35419,35419,35419,35419,35419,35419,35419,35419,35419,31950,29126,31942,34960,38688,39268,38069,38748,36023,Курганская область
3555,4658,6982,7026,8435,13402,16506,22157,36301,33155,30567,33707,36612,41997,41854,40542,37588,35560,Курганская область
6287,9434,12504,15853,17894,22873,28886,51453,41486,41473,49607,41274,57015,56546,59320,61174,58359,58551,Свердловская область
5428,9603,13811,14635,15823,21875,25789,44066,51334,46650,44907,44914,58849,56392,60810,63438,57956,58774,Свердловская область
4853,6849,10611,15200,16217,18613,25259,42767,44764,44302,44077,43686,45647,48930,55035,56285,51459,47657,Тюменская область
4589,6647,10577,15222,15718,19322,27406,50834,49256,46289,47022,45475,50295,53592,60082,60619,55365,52203,Тюменская область
7550,13750,17489,18876,19203,21339,23224,42977,46393,49188,49938,46788,53296,51112,59226,55149,51148,49391,Ханты-Мансийский автономный округ-Югра
6596,13126,18566,18630,17901,18558,29429,52606,52403,46929,50465,45930,51999,57362,59960,58741,48715,48301,Ханты-Мансийский автономный округ-Югра
58711,58711,58711,58711,58711,58711,58711,40585,45380,48730,53054,64417,59408,61592,75144,68164,64918,64429,Ямало-Ненецкий автономный округ
51223,51223,51223,51223,51223,51223,51223,49358,50081,48964,54164,42939,45643,45669,58393,60591,59359,48292,Ямало-Ненецкий автономный округ
50514,50514,50514,50514,50514,50514,50514,50514,50514,50514,50514,50514,50514,46624,51397,56236,50938,47378,Тюменская область (без автономных округов)
56562,56562,56562,56562,56562,56562,56562,56562,56562,56562,56562,56562,56562,51555,60858,61175,56392,52833,Тюменская область (без автономных округов)
4411,5552,9300,10477,13987,17629,24899,31393,37376,34630,30165,28923,35096,39498,37636,38770,36405,34848,Челябинская область
3784,5193,8083,9215,11907,16403,21939,27183,31995,30833,28807,29458,29119,31588,34718,40860,37244,37808,Челябинская область
4835,6919,10777,12839,14497,19339,22842,32153,40006,36736,35178,37847,41058,43723,46429,48917,45426,44700,Сибирский федеральный округ
4574,6718,10106,10994,13152,18613,22075,32813,42039,37026,38357,40851,44371,46481,49544,50336,46174,44573,Сибирский федеральный округ
5142,5342,7286,10286,14724,20000,24500,28877,37932,39142,34581,32997,36489,35063,37679,40796,37151,38431,Республика Алтай
3528,4689,6103,10010,13808,14061,16557,34325,46507,41428,37806,36980,37961,37038,39627,42950,39159,40419,Республика Алтай
4024,4565,8148,13183,15791,17386,17927,24247,32257,28385,28840,31616,37003,40255,41563,40306,38161,39765,Республика Бурятия
2709,3478,5699,9665,11846,14206,15374,27499,33959,28043,30235,37575,43802,46281,45461,46801,41565,40612,Республика Бурятия
36885,36885,36885,36885,36885,36885,36885,26500,31618,33333,31250,33125,35348,42778,43154,43738,43270,41625,Республика Тыва
30525,30525,3974,5565,8319,10862,12643,24971,32364,33100,31544,35618,42959,48878,50021,50543,49544,47501,Республика Тыва
4165,5880,9133,10695,12054,16123,18627,20475,29907,27534,28136,31297,32978,38348,39257,43650,38792,39516,Республика Хакасия
3036,5127,7118,9031,11234,16880,19109,18702,35188,27800,31793,37432,41147,43505,47327,46759,42175,41277,Республика Хакасия
5081,7258,10242,12149,12770,15567,19601,32408,37531,33111,33321,31685,34741,38627,41814,44592,45127,40153,Алтайский край
4230,6767,9786,11466,12736,17044,17392,32851,35661,30559,30091,33675,41115,44633,46681,45279,42582,40507,Алтайский край
3462,34225,34225,34225,34225,14000,19500,23050,34121,32926,31928,37011,41430,43888,45707,53874,50378,47877,Забайкальский край
2617,3824,5618,6766,8630,12843,18284,24850,42688,40686,38516,38981,40403,45791,50003,50690,47945,48948,Забайкальский край
4885,9063,11171,10909,15444,20170,23848,33369,46261,40462,38964,41510,46416,52387,55467,56304,49588,49096,Красноярский край
4952,9610,12008,9774,12766,19626,22721,30885,42644,32460,34168,43489,47909,48051,50223,48360,44341,42216,Красноярский край
1188,6732,7516,7585,8360,8088,7660,6732,6732,6732,6732,6732,6732,6732,6732,6732,6732,6732,Таймырский (Долгано-Ненецкий) автономный округ
